Product Name,Image Links
4 Switch IR Touch Feel,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Layer-4.png
Fan Regulator IR 8 Step,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Layer-0-9.png
Light Dimmer IR 8 Step,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Layer-0-10.png
30A Switch IR,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Layer-0-11.png
1 Switch IR Touch Feel,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/1-Switch-IR-Touch-Feel-2.png
2 Switch IR Touch Fee,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/2-Switch-IR-Touch-Feel.png
3 Switch &amp; 1 Bell Switch IR Touch Feel,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/3-Switch-1-Bell-Switch-IR-Touch-Feel.png
4 Switch IR Touch Feel,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/4-Switch-IR-Touch-Feel.png
16a Switch W / Ind IR Touch Feel,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/16A-Switch-w_ind-IR-Touch-Feel.png
30a Switch W / Ind IR Touch Feel,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/30A-Switch-w_ind-IR-Touch-Feel.png
Bell Switch IR Touch Feel,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Bell-Switch-IR-Touch-Feel.png
Light Dimmer 9 Step 300w IR Touch Feel,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Light-Dimmer-9-Step-300W-IR-Touch-Feel.png
Fan Regulator 8 Step IR Touch Feel,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Fan-Regulator-8-Step-IR-Touch-Feel.png
Remote control operation with IR technology,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Light-Dimmer-9-Step-300W-IR-Touch-Feel-1.png
Retro fit – Easy to Install,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Light-Dimmer-9-Step-300W-IR-Touch-Feel-1.png
No Separate wiring required,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Light-Dimmer-9-Step-300W-IR-Touch-Feel-1.png
No wear & tear as compared to normal switches,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Light-Dimmer-9-Step-300W-IR-Touch-Feel-1.png
Blue colour indication to identify the device’s ON or OFF condition,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Light-Dimmer-9-Step-300W-IR-Touch-Feel-1.png
"Tested for 20,000 operations",https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Light-Dimmer-9-Step-300W-IR-Touch-Feel-1.png
"Smart room solution to control – Fan, light",https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Light-Dimmer-9-Step-300W-IR-Touch-Feel-1.png
