Product Name,Image Links
 Switch IR Touch Screen Valencia Red Plate,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Layer-1.png
4 Switch IR Touch Screen Valencia White Plate,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Layer-0-8.png
4 Switch IR Touch Screen Valencia Black Plate,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Layer-1-1.png
4 Switch IR Touch Screen Valencia Frosted Mirror Plate,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Layer-1-2.png
4 Switch IR Touch Screen Valencia Silver Plate,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Layer-1-3.png
4 Switch IR Touch Screen,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/4-Switch-IR-Touch-Screen.png
3 Switch & 1 Bell IR Touch Screen,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/3-Switch-1-Bell-IR-Touch-Screen-1.png
Fan Regulator IR 8 Step Touch Screen,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Fan-Regulator-IR-8-Step-Touch-Screen.png
Light Dimmer IR 9 Step 300w Touch Screen,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Light-Dimmer-IR-9-Step-300W-Touch-Screen.png
16A Switch W / Ind IR Touch Screen,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/30A-Switch-w_ind-IR-Touch-Screen.png
30A Switch W / Ind IR Touch Screen,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/30A-Switch-w_ind-IR-Touch-Screen-1.png
"DND, Clean My Room Indicator With Bell IR Touch Screen (Outdoor)",https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/DND-Clean-My-Room-Indicator-With-bell-IR-Touch-Screen-Outdoor.png
"DND, Clean My Room IR Touch Screen Indoor Unit",https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/DND-Clean-My-Room-IR-Touch-Screen-Indoor-Unit.png
Bell Switch IR Touch Screen,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/Bell-Switch-IR-Touch-Screen.png
Remote control operation with IR technology,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/3-Switch-1-Bell-IR-Touch-Screen.png
Retro fit – Easy to Install,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/3-Switch-1-Bell-IR-Touch-Screen.png
No Separate wiring required,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/3-Switch-1-Bell-IR-Touch-Screen.png
No wear & tear as compared to normal switches,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/3-Switch-1-Bell-IR-Touch-Screen.png
Blue colour indication to identify the device’s ON or OFF condition,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/3-Switch-1-Bell-IR-Touch-Screen.png
"Tested for 20,000 operations",https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/3-Switch-1-Bell-IR-Touch-Screen.png
"Smart room solution to control – Fan, light",https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/01/3-Switch-1-Bell-IR-Touch-Screen.png
